GU,code,quarter,ilban,franchise,total,sales
KANGNAM,KW,18_1,21155,368,21523,3246
KANGNAM,KW,18_2,21071,363,21434,3286
KANGNAM,KW,18_3,20885,365,21250,3275
KANGNAM,KW,18_4,20845,369,21214,3633
KANGNAM,KW,19_1,20103,493,20596,2244
KANGNAM,KW,19_2,20445,508,20953,2164
KANGNAM,KW,19_3,20722,515,21237,2307
KANGNAM,KW,19_4,21066,520,21586,2321
KANGNAM,KW,20_1,21156,513,21669,2276
KANGNAM,KW,20_2,21316,511,21827,2345
KANGNAM,KW,20_3,21488,510,21998,2402
KANGNAM,KW,20_4,21565,506,22071,2357
KANGNAM,KW,21_1,21596,506,22102,2566
KANGNAM,KW,21_2,21894,505,22399,2629
KANGNAM,KW,21_3,22212,509,22721,2720
KANGNAM,KW,21_4,22670,506,23176,2864
KANGNAM,KW,22_1,22619,510,23129,2964
KANGNAM,KW,22_2,22645,492,23137,2974
KANGNAM,KW,22_3,22610,486,23096,3053
KANGNAM,KW,22_4,22590,487,23077,3005
KANGNAM,KW,23_1,22519,483,23002,3308
KANGNAM,KW,23_2,22557,484,23041,3144
KANGNAM,KR,18_1,19168,1103,20271,5171
KANGNAM,KR,18_2,19078,1105,20183,5270
KANGNAM,KR,18_3,18954,1095,20049,5129
KANGNAM,KR,18_4,18958,1088,20046,5648
KANGNAM,KR,19_1,19530,1337,20867,4208
KANGNAM,KR,19_2,19873,1343,21216,4405
KANGNAM,KR,19_3,20134,1353,21487,4352
KANGNAM,KR,19_4,20499,1355,21854,4834
KANGNAM,KR,20_1,20595,1350,21945,4113
KANGNAM,KR,20_2,20865,1360,22225,4369
KANGNAM,KR,20_3,21136,1356,22492,4463
KANGNAM,KR,20_4,21310,1334,22644,4735
KANGNAM,KR,21_1,21451,1321,22772,4263
KANGNAM,KR,21_2,21938,1330,23268,4701
KANGNAM,KR,21_3,22392,1329,23721,4550
KANGNAM,KR,21_4,23550,1338,24888,5013
KANGNAM,KR,22_1,23338,1323,24661,4650
KANGNAM,KR,22_2,23261,1316,24577,4908
KANGNAM,KR,22_3,23059,1311,24370,4956
KANGNAM,KR,22_4,22922,1295,24217,5152
KANGNAM,KR,23_1,22628,1290,23918,4587
KANGNAM,KR,23_2,22490,1285,23775,4687
KANGNAM,KE,18_1,10422,2377,12799,3551
KANGNAM,KE,18_2,10472,2377,12849,3688
KANGNAM,KE,18_3,10443,2334,12777,3679
KANGNAM,KE,18_4,10497,2329,12826,4219
KANGNAM,KE,19_1,10315,2497,12812,2076
KANGNAM,KE,19_2,10451,2517,12968,2157
KANGNAM,KE,19_3,10551,2489,13040,2221
KANGNAM,KE,19_4,10671,2484,13155,2443
KANGNAM,KE,20_1,10620,2466,13086,2052
KANGNAM,KE,20_2,10737,2476,13213,2182
KANGNAM,KE,20_3,10914,2451,13365,2184
KANGNAM,KE,20_4,10961,2432,13393,2053
KANGNAM,KE,21_1,11060,2428,13488,1938
KANGNAM,KE,21_2,11207,2401,13608,2344
KANGNAM,KE,21_3,11307,2389,13696,2011
KANGNAM,KE,21_4,11502,2383,13885,2750
KANGNAM,KE,22_1,11507,2347,13854,2334
KANGNAM,KE,22_2,11709,2356,14065,3261
KANGNAM,KE,22_3,11641,2318,13959,3340
KANGNAM,KE,22_4,11675,2314,13989,3591
KANGNAM,KE,23_1,11642,2289,13931,3489
KANGNAM,KE,23_2,11744,2278,14022,3435
KANGNAM,KW,18_1,50745,3848,54593,11968
KANGNAM,KW,18_2,50621,3845,54466,12244
KANGNAM,KW,18_3,50282,3794,54076,12083
KANGNAM,KW,18_4,50300,3786,54086,13500
KANGNAM,KW,19_1,49948,4327,54275,8528
KANGNAM,KW,19_2,50769,4368,55137,8726
KANGNAM,KW,19_3,51407,4357,55764,8879
KANGNAM,KW,19_4,52236,4359,56595,9599
KANGNAM,KW,20_1,52371,4329,56700,8441
KANGNAM,KW,20_2,52918,4347,57265,8895
KANGNAM,KW,20_3,53538,4317,57855,9050
KANGNAM,KW,20_4,53836,4272,58108,9145
KANGNAM,KW,21_1,54107,4255,58362,8768
KANGNAM,KW,21_2,55039,4236,59275,9674
KANGNAM,KW,21_3,55911,4227,60138,9281
KANGNAM,KW,21_4,57722,4227,61949,10627
KANGNAM,KW,22_1,57464,4180,61644,9948
KANGNAM,KW,22_2,57615,4164,61779,11142
KANGNAM,KW,22_3,57310,4115,61425,11349
KANGNAM,KW,22_4,57187,4096,61283,11748
KANGNAM,KW,23_1,59789,4062,60851,11384
KANGNAM,KW,23_2,56791,4047,60838,11266
KANGNAM,KS,18_1,21155,368,21523,3246
KANGNAM,KS,18_2,21071,363,21434,3286
KANGNAM,KS,18_3,20885,365,21250,3275
KANGNAM,KS,18_4,20845,369,21214,3633
KANGNAM,KS,19_1,20103,493,20596,2244
KANGNAM,KS,19_2,20445,508,20953,2164
KANGNAM,KS,19_3,20722,515,21237,2307
KANGNAM,KS,19_4,21066,520,21586,2321
KANGNAM,KS,20_1,21156,513,21669,2276
KANGNAM,KS,20_2,21316,511,21827,2345
KANGNAM,KS,20_3,21488,510,21998,2402
KANGNAM,KS,20_4,21565,506,22071,2357
KANGNAM,KS,21_1,21596,506,22102,2566
KANGNAM,KS,21_2,21894,505,22399,2629
KANGNAM,KS,21_3,22212,509,22721,2720
KANGNAM,KS,21_4,22670,506,23176,2864
KANGNAM,KS,22_1,22619,510,23129,2964
KANGNAM,KS,22_2,22645,492,23137,2974
KANGNAM,KS,22_3,22610,486,23096,3053
KANGNAM,KS,22_4,22590,487,23077,3005
KANGNAM,KS,23_1,22519,483,23002,3308
KANGNAM,KS,23_2,22557,484,23041,3144
